arquivo_md,data,hora,acertos,erros,total_perguntas
1.1 Explore os principais conceitos de dados.md,2025-08-19,00:26:57,6,4,10
1.1 Explore os principais conceitos de dados.md,2025-08-03,19:50:12,4,1,5
1.2 Explorar funções e serviços de dados.md,2025-08-03,20:01:26,2,3,5
2.1 Explorar conceitos fundamentais de dados relacionais.md,2025-08-03,20:19:35,4,1,5
4.1 Explorar os conceitos básicos da análise em larga escala.md,2025-08-03,20:27:47,5,0,5
3.1 Introdução aos dados não relacionais do Microsoft Azure Data no Azure.md,2025-08-03,20:44:24,2,3,5
Capítulo 3 (Completo),2025-08-03,20:48:22,3,2,5
1.1 Explore os principais conceitos de dados.md,2025-08-03,21:11:54,3,2,5
Capítulo 1 (Completo),2025-08-03,21:14:54,4,1,5
Capítulo 4 (Completo),2025-08-03,21:18:42,5,0,5
Capítulo 2 (Completo),2025-08-03,21:20:35,4,1,5
Capítulo 3 (Completo),2025-08-03,21:27:54,3,2,5
Capítulo 3 (Completo),2025-08-03,21:43:05,8,2,10
Capítulo 1 (Completo),2025-08-12,22:01:29,0,10,10
1.1 Explore os principais conceitos de dados.md,2025-08-12,22:17:28,7,3,10
dp900 • Capítulo 3 (Completo),2025-08-19,00:47:18,1,2,3
dp900 • Capítulo 2 (Completo),2025-08-19,00:53:08,2,1,3
